Order_ID,Order_Date,Customer_ID,Product_Category,Sales,Quantity,Profit,Discount
REG100090,2023-03-29,Cust 8160,Furniture,9575.145,19,230,0.1
REG100091,2025-03-01,Cust 4439,Electronics,1367.24,8,-640,0.05
REG100092,2023-10-18,Cust 1127,Clothing,5040.33,12,486,0.15
REG100093,2025-04-13,Cust 4696,Furniture,4629.9,10,-18,0
REG100094,2025-05-13,Cust 3014,Furniture,3060.596,7,-13,0.05
REG100095,2024-04-21,Cust 2539,Electronics,4998.748,17,-63,0.05
REG100096,2025-01-31,Cust 3916,Electronics,307.6385,1,-706,0.05
REG100097,2025-03-14,Cust 6329,Electronics,5030.7,10,170,0
REG100098,2024-05-26,Cust 4384,Clothing,8358.56,20,-1,0.15
REG100099,2023-07-22,Cust 7756,Electronics,7565.4675,17,170,0.05
REG100100,2024-03-21,Cust 6086,Clothing,3756.456,11,-1,0.15
REG100101,2023-04-05,Cust 3845,Electronics,663,3,-36,0
REG100102,2024-08-26,Cust 9996,Electronics,1074.165,6,101,0.05
REG100103,2024-07-07,Cust 1711,Electronics,1698.6,3,266,0
REG100104,2023-09-29,Cust 4522,Clothing,2222.297,14,-48,0.05
REG100105,2023-10-04,Cust 4233,Electronics,520.704,16,-14,0.1
REG100106,2025-06-09,Cust 4121,Clothing,140.486,2,8,0.05
REG100107,2025-06-12,Cust 9092,Furniture,6616.656,16,-307,0.1
REG100108,2024-06-29,Cust 9090,Clothing,504.15,3,199,0
REG100109,2024-03-23,Cust 1983,Electronics,446.726,14,119,0.15
REG100110,2024-07-14,Cust 8834,Clothing,604.64,4,0,0
REG100111,2024-03-15,Cust 9780,Clothing,1202.274,17,8,0.1
REG100112,2025-04-19,Cust 1293,Clothing,531.9525,15,-225,0.05
REG100113,2024-02-15,Cust 3173,Furniture,8216.406,18,198,0.15
REG100114,2024-01-25,Cust 8641,Clothing,1078,5,-40,0
REG100115,2025-04-15,Cust 7656,Furniture,3771,18,-36,0
REG100116,2025-04-15,Cust 5523,Clothing,2512.656,8,-2,0.1
REG100117,2024-08-11,Cust 2015,Clothing,549.366,2,0,0.05
REG100118,2023-12-01,Cust 6895,Furniture,1984.65,5,267,0
REG100119,2023-08-06,Cust 1797,Electronics,4831.415,10,-235,0.05
REG100120,2024-01-24,Cust 9969,Clothing,2570.139,11,-1,0.1
REG100121,2024-03-07,Cust 1815,Electronics,2819.61,9,-48,0
REG100122,2024-01-22,Cust 7773,Clothing,479.565,5,-209,0.1
REG100123,2023-02-23,Cust 1499,Clothing,92.65,1,-17,0.15
REG100124,2023-06-14,Cust 3809,Furniture,2590.4,8,248,0
REG100125,2025-05-13,Cust 7824,Clothing,5841.664,16,166,0.05
REG100126,2024-07-30,Cust 7258,Clothing,2228.496,16,-9,0.15
REG100127,2024-07-18,Cust 1151,Furniture,117.05,5,395,0
REG100128,2024-08-26,Cust 6486,Furniture,8311.3,20,303,0.15
REG100129,2025-06-08,Cust 4034,Clothing,3009.524,7,1,0.05
REG100130,2025-05-16,Cust 9794,Clothing,5117.64,11,56,0
REG100131,2024-07-18,Cust 2414,Clothing,6197.1,14,-15,0
REG100132,2023-09-17,Cust 9024,Electronics,5633.28,12,-100,0
REG100133,2023-03-13,Cust 2663,Clothing,3308.641,14,-12,0.05
REG100134,2023-03-29,Cust 2293,Clothing,2148.102,4,254,0.05
REG100135,2023-07-14,Cust 8963,Clothing,2790.72,12,1,0.05
REG100136,2024-03-22,Cust 9238,Clothing,3592.9855,13,1,0.05
REG100137,2024-05-14,Cust 1390,Clothing,2271.951,11,1,0.1
REG100138,2023-05-30,Cust 8548,Clothing,811.984,2,10,0.05
REG100139,2023-03-19,Cust 2919,Furniture,842.669,2,259,0.05
REG100140,2023-08-09,Cust 5847,Furniture,3100.9615,13,-187,0.15
REG100141,2024-10-13,Cust 5711,Electronics,4604.093,13,-309,0.15
REG100142,2025-02-17,Cust 5461,Electronics,6484.28,11,-213,0
REG100143,2025-06-11,Cust 8905,Clothing,2338.452,18,15,0.15
REG100144,2024-04-29,Cust 9618,Clothing,654.64,4,-2,0
REG100145,2023-03-18,Cust 5203,Electronics,7820.6375,19,167,0.15
REG100146,2024-12-21,Cust 1732,Electronics,3081.24,9,225,0.1
REG100147,2023-04-23,Cust 4734,Clothing,5085.414,17,-316,0.1
REG100148,2025-05-11,Cust 5895,Clothing,3005.895,15,316,0.05
REG100149,2024-03-03,Cust 9691,Electronics,3445.2,9,208,0
REG100150,2025-01-20,Cust 5406,Clothing,985.0395,3,-28,0.15
REG100151,2025-03-22,Cust 5750,Furniture,1129.95,5,119,0
REG100152,2025-03-28,Cust 6506,Clothing,5313.52,20,292,0.15
REG100153,2025-02-17,Cust 8280,Furniture,5357.0595,13,51,0.05
REG100154,2024-11-08,Cust 4358,Furniture,3186.6,20,89,0
REG100155,2024-03-17,Cust 3588,Clothing,551.133,18,175,0.05
REG100156,2023-08-29,Cust 4539,Furniture,1424.979,3,262,0.1
REG100157,2023-06-22,Cust 7067,Clothing,4075.26,14,84,0
REG100158,2024-02-24,Cust 7720,Electronics,2800.96,8,19,0
REG100159,2024-04-10,Cust 5668,Clothing,1854.97,10,212,0.05
REG100160,2023-05-14,Cust 8367,Electronics,3784.3,13,-424,0
REG100161,2023-03-11,Cust 4438,Clothing,478.992,6,8,0.15
REG100162,2024-08-24,Cust 3481,Clothing,79.6,5,2,0
REG100163,2024-02-23,Cust 1489,Electronics,1634.992,16,-111,0.15
REG100164,2024-01-30,Cust 6649,Electronics,1241.46,11,371,0.05
REG100165,2024-01-23,Cust 6114,Electronics,832.05,10,-73,0.1
REG100166,2023-01-05,Cust 9589,Furniture,8806.69,19,-82,0
REG100167,2023-12-21,Cust 8184,Furniture,1893.255,7,-152,0.05
REG100168,2023-05-25,Cust 2490,Clothing,6521.75,20,9,0.05
REG100169,2025-06-30,Cust 1647,Electronics,485.724,6,371,0.15
REG100170,2025-02-12,Cust 2017,Furniture,1294.28,13,198,0.05
REG100171,2024-01-03,Cust 3446,Clothing,1774.548,12,107,0.1
REG100172,2023-02-03,Cust 4877,Clothing,2926.62,10,91,0.1
REG100173,2024-03-01,Cust 9112,Clothing,9227.94,17,3,0
REG100174,2023-05-24,Cust 8172,Clothing,2759.484,14,204,0.05
REG100175,2025-06-22,Cust 4597,Clothing,8525.262,17,9,0.05
REG100176,2023-04-10,Cust 3690,Furniture,744.1445,11,392,0.05
REG100177,2025-03-04,Cust 2893,Furniture,3888.56,8,116,0
REG100178,2024-07-11,Cust 5602,Electronics,2997.162,6,84,0.1
REG100179,2024-08-17,Cust 5616,Electronics,5474.04,13,213,0
REG100180,2025-06-30,Cust 1312,Clothing,1096.848,16,12,0.1
REG100181,2024-11-06,Cust 6315,Clothing,1359.585,3,11,0.1
REG100182,2025-04-01,Cust 1224,Clothing,157.8,5,12,0
REG100183,2024-07-01,Cust 7182,Clothing,1108.384,16,-79,0.05
REG100184,2023-12-09,Cust 7901,Electronics,7215.003,18,29,0.05
REG100185,2023-06-27,Cust 1736,Clothing,6458.535,15,-11,0.1
REG100186,2023-07-14,Cust 7795,Electronics,4515.66,9,151,0
REG100187,2023-02-08,Cust 2471,Clothing,1472.8035,7,8,0.15
REG100188,2024-06-28,Cust 3068,Clothing,900.201,6,3,0.15
REG100189,2024-04-15,Cust 3848,Clothing,286.86,2,0,0
REG100190,2023-11-27,Cust 7777,Electronics,6138.9,12,114,0.05
REG100191,2025-03-27,Cust 6613,Clothing,435.85,5,11,0
REG100192,2023-08-06,Cust 2326,Electronics,3139.416,7,-31,0.1
REG100193,2024-12-13,Cust 8304,Clothing,728.535,15,0,0.15
REG100194,2025-01-17,Cust 3630,Clothing,1899.954,18,8,0.15
REG100195,2023-11-26,Cust 8617,Furniture,1160.46,12,0,0.1
REG100196,2023-02-14,Cust 3530,Clothing,2961.072,8,11,0.1
REG100197,2025-02-02,Cust 3884,Clothing,1736.7,7,3,0
REG100198,2023-04-11,Cust 5739,Clothing,1313.604,3,50,0.1
REG100199,2024-07-08,Cust 9707,Clothing,6723.648,18,11,0.1
REG100200,2023-02-08,Cust 9288,Clothing,2670.887,19,11,0.15
REG100201,2024-04-09,Cust 1216,Clothing,234.94,2,11,0
REG100202,2023-08-14,Cust 2489,Furniture,3532.6935,9,42,0.15
REG100203,2024-09-02,Cust 7171,Clothing,3767.396,19,50,0.05
REG100204,2025-06-29,Cust 9125,Clothing,3782.568,16,11,0.15
REG100205,2025-04-02,Cust 9697,Electronics,1102.361,2,-459,0.05
REG100206,2023-04-27,Cust 8171,Electronics,4291.44,8,547,0
REG100207,2024-08-07,Cust 2004,Electronics,94.33,1,0,0
REG100208,2023-04-15,Cust 4214,Clothing,7055.136,16,11,0.1
REG100209,2023-08-12,Cust 9837,Clothing,2096.498,4,-41,0.05
REG100210,2023-06-19,Cust 2082,Electronics,8605.9865,17,77,0.15
REG100211,2023-12-29,Cust 3001,Clothing,162.108,1,2,0.1
REG100212,2023-03-26,Cust 6161,Electronics,3075.3,12,-90,0.15
REG100213,2023-09-01,Cust 5220,Furniture,4650.35,20,-35,0.15
REG100214,2024-08-05,Cust 3386,Furniture,1010.124,6,-37,0.1
REG100215,2025-01-23,Cust 1591,Electronics,9000.32,16,148,0
REG100216,2023-05-16,Cust 3434,Electronics,306.576,4,53,0.1
REG100217,2023-02-14,Cust 1501,Furniture,4605.402,12,-45,0.15
REG100218,2024-06-03,Cust 9683,Clothing,220.8895,1,11,0.15
REG100219,2023-11-08,Cust 5416,Electronics,5096.75,20,-50,0.05
REG100220,2023-01-24,Cust 2153,Furniture,2661.3,10,-36,0
REG100221,2025-03-20,Cust 3572,Clothing,8431.326,18,161,0.05
REG100222,2024-02-22,Cust 6372,Clothing,139.916,4,8,0.05
REG100223,2025-04-02,Cust 6109,Electronics,4217.19,12,-272,0.15
REG100224,2025-06-12,Cust 5234,Clothing,7630.875,19,4,0.1
REG100225,2023-05-13,Cust 5530,Electronics,492.4815,7,357,0.15
REG100226,2023-03-25,Cust 5398,Electronics,5777.96,17,70,0
REG100227,2024-11-22,Cust 3247,Electronics,5883.768,19,49,0.15
REG100228,2023-07-07,Cust 7137,Clothing,215.73,3,48,0
REG100229,2024-10-05,Cust 4627,Furniture,10949.7,20,-77,0.05
REG100230,2024-03-31,Cust 4878,Electronics,844.2,7,199,0
REG100231,2025-04-01,Cust 2779,Clothing,731.044,8,-45,0.05
REG100232,2023-08-23,Cust 8606,Electronics,6266.561,14,50,0.05
REG100233,2024-08-14,Cust 9599,Clothing,257.94,20,-25,0.1
REG100234,2025-02-14,Cust 4500,Clothing,7644.033,18,12,0.15
REG100235,2023-11-11,Cust 4173,Clothing,205.758,14,1,0.1
REG100236,2024-04-01,Cust 7607,Furniture,6944.959,17,-314,0.15
REG100237,2024-06-13,Cust 4768,Clothing,2640.24,5,2,0.05
REG100238,2023-11-28,Cust 5746,Clothing,2819.286,18,8,0.1
REG100239,2024-11-11,Cust 3002,Clothing,2831.895,11,13,0.1
REG100240,2024-11-04,Cust 3237,Clothing,651.68,16,412,0
REG100241,2023-01-01,Cust 6437,Electronics,5150.42,11,-23,0
REG100242,2025-01-18,Cust 8806,Clothing,370.386,1,-5,0.1
REG100243,2023-05-02,Cust 8678,Furniture,1657.37,13,27,0.05
REG100244,2025-05-27,Cust 9649,Clothing,2985.455,10,-124,0.15
REG100245,2024-12-27,Cust 1960,Clothing,6944.364,14,1,0.1
REG100246,2025-03-18,Cust 3910,Clothing,236.034,2,86,0.1
REG100247,2024-03-24,Cust 4944,Clothing,3570.66,6,126,0
REG100248,2024-12-26,Cust 9618,Clothing,2944.962,6,66,0.05
REG100249,2023-01-11,Cust 2279,Clothing,1154.649,6,2,0.05
REG100250,2025-06-01,Cust 4689,Furniture,3383.068,13,118,0.15
REG100251,2024-09-26,Cust 7381,Clothing,4420.119,11,-56,0.15
REG100252,2024-08-10,Cust 2724,Clothing,6072.66,20,14,0.1
REG100253,2025-03-02,Cust 2823,Clothing,369.792,12,111,0.1
REG100254,2023-02-21,Cust 9402,Furniture,1908.2,4,93,0
REG100255,2024-11-20,Cust 6561,Clothing,3377.58,6,-116,0
REG100256,2023-08-26,Cust 3116,Clothing,365.8,20,212,0
REG100257,2024-01-01,Cust 1015,Clothing,1462.02,7,3,0
REG100258,2024-11-24,Cust 1207,Clothing,3766.104,12,-22,0.05
REG100259,2024-08-25,Cust 2501,Clothing,299.047,7,6,0.15
REG100260,2023-06-10,Cust 2330,Furniture,636.803,2,-192,0.15
REG100261,2024-12-18,Cust 7436,Electronics,2945.88,7,151,0.1
REG100262,2023-08-28,Cust 2762,Clothing,1072.284,3,-16,0.05
REG100263,2023-01-22,Cust 3599,Clothing,1826.37,13,-5,0
REG100264,2023-02-07,Cust 4127,Electronics,1291.1415,3,234,0.15
REG100265,2023-11-22,Cust 6855,Clothing,1054.348,8,68,0.05
REG100266,2023-01-25,Cust 7017,Clothing,686.103,6,13,0.15
REG100267,2025-03-05,Cust 6957,Clothing,6428.916,18,-13,0.05
REG100268,2023-02-02,Cust 9822,Electronics,4846.23,10,88,0.1
REG100269,2023-05-24,Cust 7425,Clothing,6823.44,15,144,0.1
REG100270,2024-05-30,Cust 6468,Electronics,1061.106,4,143,0.15
REG100271,2024-01-23,Cust 8897,Furniture,7389.645,15,84,0.15
REG100272,2023-02-06,Cust 9816,Clothing,1848.155,10,-29,0.15
REG100273,2024-07-15,Cust 8227,Electronics,6785.1375,15,107,0.05
REG100274,2025-03-06,Cust 4990,Clothing,400.635,5,-100,0.1
REG100275,2023-07-29,Cust 5834,Furniture,105.264,17,-338,0.1
REG100276,2023-07-26,Cust 7330,Electronics,1918.404,6,-47,0.1
REG100277,2024-04-10,Cust 5273,Clothing,2122.272,8,199,0.1
REG100278,2025-01-24,Cust 6138,Clothing,971.04,16,-23,0
REG100279,2025-04-27,Cust 2084,Clothing,1007.334,2,10,0.1
REG100280,2025-02-20,Cust 2799,Furniture,837.576,4,108,0.1
REG100281,2023-09-14,Cust 5234,Electronics,1962.395,10,-103,0.15
REG100282,2024-04-17,Cust 3051,Furniture,2105.705,7,-8,0.15
REG100283,2024-11-14,Cust 5456,Clothing,6732.84,12,41,0
REG100284,2024-07-25,Cust 6029,Electronics,3337.335,15,57,0.1
REG100285,2024-08-05,Cust 4002,Furniture,4637.862,19,71,0.1
REG100286,2025-01-23,Cust 5830,Clothing,3195.24,6,4,0
REG100287,2025-04-27,Cust 8088,Electronics,4481.744,16,50,0.15
REG100288,2024-09-20,Cust 6455,Clothing,1020.6,6,7,0
REG100289,2023-09-08,Cust 4117,Electronics,3437.2045,19,-15,0.15
REG100290,2025-04-20,Cust 1385,Clothing,2894.6,5,114,0
REG100291,2024-06-20,Cust 5185,Clothing,1233.684,3,6,0.1
REG100292,2023-01-11,Cust 8704,Clothing,6258.36,12,32,0
REG100293,2023-07-04,Cust 3528,Electronics,7561.2685,17,-6,0.05
REG100294,2025-03-08,Cust 3907,Electronics,67.3965,9,-33,0.15
REG100295,2025-02-10,Cust 9005,Clothing,2657.61,6,-12,0.15
REG100296,2025-03-17,Cust 3635,Clothing,2609.19,10,36,0.1
REG100297,2023-11-09,Cust 2122,Furniture,405.4695,3,-312,0.05
REG100298,2023-11-30,Cust 4467,Electronics,5045.7825,15,25,0.05
REG100299,2024-08-15,Cust 6146,Electronics,7171.4,20,62,0
REG100300,2023-03-21,Cust 4001,Furniture,504.336,16,72,0.05
REG100301,2023-10-26,Cust 3365,Clothing,248.8,2,5,0
REG100302,2023-11-03,Cust 2194,Clothing,191.808,12,-5,0.1
REG100303,2025-01-30,Cust 7942,Electronics,4699.208,16,-200,0.15
REG100304,2024-01-25,Cust 8451,Clothing,5600.478,13,26,0.05
REG100305,2025-03-29,Cust 4238,Clothing,2360.79,10,0,0.15
REG100306,2024-11-02,Cust 2529,Clothing,1436.16,16,17,0
REG100307,2024-06-30,Cust 7057,Furniture,5889.07,11,113,0
REG100308,2023-01-11,Cust 9069,Furniture,126.198,9,74,0.1
REG100309,2025-06-05,Cust 5858,Clothing,6065.02,13,7,0
REG100310,2024-03-21,Cust 2712,Clothing,8539.2,16,225,0.1
REG100311,2023-08-31,Cust 7052,Clothing,3233.952,6,17,0.05
REG100312,2024-10-07,Cust 9397,Electronics,8447.096,17,93,0.05
REG100313,2023-04-12,Cust 4614,Electronics,6398.8,17,-39,0
REG100314,2023-11-06,Cust 1573,Clothing,404.5575,5,119,0.15
REG100315,2023-04-28,Cust 5660,Clothing,358.207,2,-66,0.15
REG100316,2023-12-18,Cust 3952,Electronics,2478.357,7,15,0.1
REG100317,2024-10-10,Cust 5407,Electronics,1482.39,13,61,0
REG100318,2023-02-05,Cust 9595,Electronics,6056.64,18,128,0
REG100319,2024-08-04,Cust 3245,Electronics,186.966,9,3,0.15
REG100320,2024-10-23,Cust 7180,Electronics,4015.08,12,-7,0.05
REG100321,2024-02-13,Cust 5973,Electronics,2354.0335,7,-87,0.05
REG100322,2024-06-03,Cust 4310,Electronics,153.3,15,91,0
REG100323,2023-04-14,Cust 6243,Clothing,6707.112,17,5,0.15
REG100324,2024-10-19,Cust 2448,Clothing,6631.912,16,2,0.05
REG100325,2023-12-18,Cust 9386,Clothing,1880.4015,9,-26,0.05
REG100326,2023-08-31,Cust 2227,Clothing,1322.685,5,16,0.15
REG100327,2023-09-19,Cust 3803,Clothing,1861.704,4,19,0.15
REG100328,2023-02-27,Cust 1236,Clothing,403.0785,9,-63,0.15
REG100329,2024-01-28,Cust 2669,Furniture,3521.394,9,97,0.1
REG100330,2025-05-06,Cust 3746,Clothing,1117.53,9,7,0
REG100331,2024-09-13,Cust 9694,Electronics,713.412,2,68,0.05
REG100332,2023-05-25,Cust 4993,Clothing,2469.402,13,19,0.1
REG100333,2024-09-26,Cust 1271,Furniture,622.09,7,13,0
REG100334,2023-02-13,Cust 3042,Clothing,1207.64,5,30,0.05
REG100335,2024-06-20,Cust 6424,Electronics,1945.575,5,251,0.1
REG100336,2024-03-22,Cust 1422,Clothing,10649.5,19,0,0.05
REG100337,2024-02-08,Cust 5857,Clothing,1497.375,11,-43,0.1
REG100338,2024-06-01,Cust 6953,Clothing,552.933,3,29,0.1
REG100339,2024-05-26,Cust 2916,Clothing,9384.32,16,-26,0
REG100340,2024-06-25,Cust 6855,Furniture,1677.28,16,-55,0
REG100341,2024-01-29,Cust 8464,Clothing,8618.112,16,23,0.1
REG100342,2024-12-07,Cust 9700,Clothing,2795.964,8,27,0.05
REG100343,2023-11-21,Cust 7765,Clothing,2833.475,10,-32,0.15
REG100344,2024-12-16,Cust 8246,Clothing,2727.936,8,3,0.1
REG100345,2023-08-05,Cust 6500,Clothing,1928.88,12,76,0.05
REG100346,2023-08-30,Cust 1150,Clothing,649.089,7,14,0.1
REG100347,2025-03-25,Cust 7449,Clothing,965.787,3,-2,0.15
REG100348,2024-12-13,Cust 1957,Clothing,408.15,15,-3,0
REG100349,2023-09-07,Cust 3467,Clothing,729.26,14,119,0
REG100350,2023-12-12,Cust 5212,Clothing,3990.07,7,100,0
REG100351,2024-04-25,Cust 3509,Furniture,9998.37,19,-15,0
REG100352,2025-05-04,Cust 5316,Furniture,2002.668,8,61,0.15
REG100353,2023-09-16,Cust 9919,Clothing,7665.417,18,25,0.05
REG100354,2024-10-23,Cust 7129,Clothing,8933.364,17,98,0.1
REG100355,2023-05-03,Cust 9841,Clothing,175.5,2,99,0.1
REG100356,2025-03-18,Cust 6362,Clothing,5722.744,16,-78,0.15
REG100357,2023-08-25,Cust 4142,Clothing,6671.34,13,30,0
REG100358,2023-07-13,Cust 9584,Clothing,8133.444,19,0,0.1
REG100359,2025-02-25,Cust 2553,Clothing,2788.578,13,1,0.1
REG100360,2025-04-14,Cust 1347,Clothing,3591.378,14,-28,0.1
REG100361,2025-06-15,Cust 8305,Furniture,26.22,5,-122,0.05
REG100362,2024-10-22,Cust 7015,Furniture,6419.25,18,83,0.1
REG100363,2023-06-20,Cust 4394,Clothing,2417.94,9,4,0.05
REG100364,2025-03-05,Cust 3323,Furniture,2994.951,6,180,0.05
REG100365,2023-10-28,Cust 4029,Clothing,1723.545,15,14,0.1
REG100366,2025-03-19,Cust 1400,Clothing,8265.57,17,-31,0.05
REG100367,2023-08-06,Cust 6361,Clothing,2112.268,4,-20,0.05
REG100368,2024-09-11,Cust 5267,Clothing,2888.76,15,-114,0.05
REG100369,2025-01-08,Cust 9354,Clothing,1414.8,4,8,0
REG100370,2024-08-12,Cust 9443,Furniture,447.75,3,-14,0
REG100371,2023-03-30,Cust 2252,Electronics,2675.124,19,-77,0.1
REG100372,2023-02-01,Cust 1031,Clothing,1692.32,7,15,0
REG100373,2025-04-18,Cust 6086,Clothing,3409.8,20,-10,0
REG100374,2025-03-29,Cust 1672,Clothing,1481.733,11,6,0.1
REG100375,2024-04-25,Cust 9313,Clothing,156.204,1,24,0.1
REG100376,2024-09-22,Cust 4405,Electronics,2324.5075,7,-28,0.05
REG100377,2023-08-05,Cust 6453,Electronics,2206.26,9,-30,0
REG100378,2024-06-07,Cust 4772,Clothing,401.926,1,18,0.05
